name,displacement,price,sale_type,version,fuel_type,model,chejinbao_id
福特  野马 5.0L,5.0L,75.0-96.0,期车,美规,汽油,跑车,223
穿越者,2.7L,32.88,现车,中东,汽油,SUV,198
大众 途锐  3.0L,3.0L,52.5-81.2,期车,美规,汽油,SUV,254
路虎揽胜行政版,3.0L,135.0,现车,美规,,SUV,160
霸道2700,2.7L,38.98,现车,中东,汽油,SUV,149
欧规奥迪Q7,3.0L,68.5,现车,欧规,汽油,SUV,125
16款尼桑途乐4.0L   SE版,4.0L,70.5,现车,中东,汽油,SUV,135
奔驰GLS450,3.0L,109.0,现车,美规,汽油,SUV,184
揽胜5.0 汽油创世加长,5.0L,256.0,现车,欧规,汽油,SUV,102
宝马X5,3.0L,78.0,现车,中东,汽油,SUV,171
铃木 吉姆尼,1.3L,16.0,期车,中东,汽油,SUV,206
丰田酷路泽,4.0L,71.8,现车,中东,汽油,SUV,182
奥迪Q7,3.0L,72.0,现车,欧规,汽油,SUV,169
宾利 欧陆  6.0L,6.0L,220.0-390.0,期车,欧规,汽油,跑车,268
GL350,3.0L,106.0,现车,加版,柴油,SUV,124
奔驰GL450,3.0L,126.0,现车,加版,汽油,SUV,138
路虎揽胜行政版,3.0L,126.0,现车,欧规,,SUV,74
丰田酷路泽,4.0L,67.0,现车,中东,汽油,SUV,78
2017款霸道2700TXL 中东版,2.7L,39.2,现车,中东,汽油,SUV,273
2017 路虎揽胜行政 3.0 柴油版,3.0L,110.0,现车,欧规,,SUV,277
丰田塞纳,3.5L,48.0,现车,加版,汽油,MPV,55
丰田霸道,2.7L,46.0,现车,中东,汽油,SUV,57
路虎揽胜创世（4座）,3.0L,135.0,现车,欧规,,SUV,30
16款 丰田坦途 TRD 高配,5.7L,45.8,现车,美规,汽油,皮卡,177
路虎发现四,3.0L,83.8,现车,欧规,,SUV,129
塞纳,3.5L,53.0,现车,美规,汽油,MPV,44
16款路虎揽胜运动,3.0L,83.8,期车,欧规,,SUV,116
路虎揽胜运动,3.0L,82.0,现车,欧规,,SUV,181
16款中东霸道2700,2.7L,45.3,现车,中东,汽油,SUV,118
中东普拉多2.7L,2.7L,44.8,现车,中东,汽油,SUV,126
16款 丰田陆地巡洋舰,4.0L,63.5,现车,中东,汽油,SUV,186
16款汽油揽运,3.0L,135.8,现车,欧规,,SUV,176
揽胜,3.0L,135.0,现车,美规,,SUV,115
17款奔驰GLS450,3.0L,115.0,现车,美规,汽油,SUV,79
2016款揽胜柴油创世,3.0L,148.0,现车,欧规,,SUV,175
16款 福特野马 性能包,2.3L,37.0,现车,美规,汽油,跑车,167
捷豹 F-TYPE,3.0L,79.8,期车,,汽油,跑车,161
普拉多2700 EXR,2.7L,39.5,现车,中东,汽油,SUV,173
路虎揽胜运动版,3.0L,88.0,现车,欧规,,SUV,172
model  S,0.0L,90.0,期车,美规,电力,,208
宾利 飞驰 V8 S,4.0L,244.0,现车,欧规,汽油,轿车,276
穿越者,2.7L,32.88,现车,中东,汽油,SUV,197
2016款 中东丰田酷路泽,4.0L,65.5,现车,中东,汽油,SUV,168
霸道2700 黎巴嫩版,2.7L,44.9,现车,中东,汽油,SUV,163
福特野马,2.3L,35.0,现车,美规,汽油,跑车,86
丰田 兰德酷路泽,4.0L,64.0,现车,中东,汽油,SUV,112
16款凯迪拉克凯雷德,6.2L,149.0,现车,加版,汽油,SUV,178
日产途乐,4.0L,56.5,现车,中东,汽油,SUV,209
路虎揽胜混动加长黑耀创世（柴油）,3.0L,165.0,现车,欧规,,SUV,133
普拉多,2.7L,44.9,现车,中东,汽油,SUV,156
宝马X5 2.0T 油电混合,2.0L,69.0,现车,美规,汽油,SUV,275
16款酷路泽4000,4.0L,63.9,现车,中东,汽油,SUV,147
奔驰GLE350 16款 四驱,3.0L,66.8,现车,加版,,SUV,278
16款丰田酷路泽5700EXR,5.7L,105.0,现车,中东,汽油,SUV,87
GLS450,3.0L,116.0,现车,欧规,汽油,SUV,140
路虎揽胜行政,3.0L,125.0,现车,欧规,,SUV,45
途锐,3.0L,75.0,期车,中东,汽油,SUV,204
16款路虎揽胜行政,3.0L,113.8,现车,欧规,,SUV,117
sierra,5.3L,59.0,期车,加版,汽油,皮卡,205
吉普大切诺基,3.6L,68.99,现车,美规,汽油,SUV,170
穿越者,2.7L,32.88,现车,中东,汽油,SUV,199
2017款丰田普拉多,2.7L,42.7,现车,中东,汽油,SUV,210
Matthes定制版宝马X5,3.0L,78.0,现车,欧规,汽油,SUV,299
霸道2700 16款 TXL 科威特版,2.7L,44.3,现车,中东,汽油,SUV,165
陆巡,4.0L,65.0,现车,中东,汽油,SUV,32
霸道,2.7L,41.0,现车,中东,汽油,SUV,141
丰田塞纳,3.5L,55.0,现车,加版,汽油,MPV,166
普拉多2700 TX,2.7L,39.98,现车,中东,汽油,SUV,174
路虎揽胜,3.0L,132.0,现车,欧规,,SUV,180
2017款 沃尔沃XC90 2.0 T6 7座,2.0L,63.5,现车,加版,汽油,SUV,288
丰田 兰德酷路泽,4.0L,62.0,现车,中东,汽油,SUV,317
福特 野马2.3T,2.3L,32.0,现车,美规,汽油,跑车,318
普拉多2700,2.7L,40.3,现车,中东,汽油,SUV,185
2017款 沃尔沃XC90 2.0 T6 7座,2.0L,63.5,现车,加版,汽油,SUV,284
玛莎拉蒂,3.0L,126.0,现车,美规,汽油,轿车,312
霸道2700,2.7L,36.9,现车,中东,汽油,SUV,320
2017款 日产途乐 XE,4.0L,50.5,现车,中东,汽油,SUV,300
丰田   普拉多,2.7L,43.0,现车,中东,汽油,SUV,121
丰田 普拉多 2700,2.7L,39.0,现车,中东,汽油,SUV,316
途乐,4.0L,51.8,现车,中东,汽油,SUV,319
2017款 科威特版 霸道2700,2.7L,41.5,现车,中东,汽油,SUV,302
2017款 沃尔沃XC90  2.0 T6 7座,2.0L,64.8,现车,加版,汽油,SUV,286
2017款 丰田塞纳 四驱LE,3.5L,48.0,期车,加版,汽油,MPV,293
科迈罗,2.0L,39.0,现车,美规,汽油,跑车,310
2017款 塞纳 二驱 SE,3.5L,52.5,现车,加版,汽油,MPV,301
丰田陆地巡洋舰,4.0L,62.0,现车,中东,汽油,SUV,304
道奇挑战者地狱猫,6.2L,142.8,现车,加版,汽油,跑车,313
2017款 沃尔沃XC90  2.0 T6 7座,2.0L,64.0,现车,加版,汽油,SUV,285
2017款 沃尔沃 XC90  2.0 T6 7座,2.0L,67.0,现车,加版,汽油,SUV,287
沃尔沃 XC90,2.0L,63.2,现车,,汽油,SUV,274
2017款丰田塞纳 四驱LTD,3.5L,62.0,期车,加版,汽油,MPV,295
2017款 沃尔沃XC90  2.0 T6 7座,2.0L,63.5,期车,加版,汽油,SUV,283
x5,3.0L,68.7,现车,中东,汽油,SUV,309
2017款 丰田塞纳 四驱LTD,3.5L,62.0,期车,加版,汽油,MPV,294
2017款 沃尔沃XC90  2.0 T6 7座,2.0L,63.5,现车,加版,汽油,SUV,282
2017款加版XC90,2.0L,66.0,现车,加版,汽油,SUV,306
兰德酷路泽,4.0L,62.0,现车,中东,汽油,SUV,308
2017款加版XC90,2.0L,66.0,现车,加版,汽油,SUV,305
17款霸道2700 黎巴嫩限量款,2.7L,44.5,现车,中东,汽油,SUV,321
2017款丰田塞纳  两驱LE,3.5L,45.0,现车,加版,汽油,MPV,314
2017款丰田塞纳  四驱LE,3.5L,50.0,现车,加版,汽油,MPV,315
